raw,canonical,method,score,at
Releaf Earth,Releaf Earth,passthrough,52.6,2026-08-27T12:16:31Z
UpCodes,UpCodes,passthrough,57.1,2026-08-27T12:16:31Z
Standard AI,Standard AI,passthrough,66.7,2026-08-27T12:16:31Z
Nimble,Nimble,passthrough,72.7,2026-08-27T12:16:31Z
Darmiyan,Darmiyan,passthrough,58.8,2026-08-27T12:16:31Z
Flock Safety,Flock Safety,passthrough,41.7,2026-08-27T12:16:31Z
Mystro,Mystro,passthrough,61.5,2026-08-27T12:16:31Z
Semantix,Semantix,passthrough,53.3,2026-08-27T12:16:31Z
Plasticity,Plasticity,passthrough,63.6,2026-08-27T12:16:31Z
Slik,Slik,passthrough,54.5,2026-08-27T12:16:31Z
Cairns Health,Cairns Health,passthrough,52.2,2026-08-27T12:16:31Z
Pop Meals,Pop Meals,passthrough,50.0,2026-08-27T12:16:31Z
Spect,Spect,passthrough,54.5,2026-08-27T12:16:31Z
Pyka,Pyka,passthrough,60.0,2026-08-27T12:16:31Z
Surematics,Surematics,passthrough,52.6,2026-08-27T12:16:31Z
Goosebump,Goosebump,passthrough,50.0,2026-08-27T12:16:31Z
Flowspace,Flowspace,passthrough,42.9,2026-08-27T12:16:31Z
Modular Science,Modular Science,passthrough,48.0,2026-08-27T12:16:31Z
Skyscrape,Skyscrape,passthrough,58.8,2026-08-27T12:16:31Z
D-ID,D-ID,passthrough,50.0,2026-08-27T12:16:31Z
Percept.AI,Percept.AI,passthrough,69.6,2026-08-27T12:16:31Z
WATERFX,WATERFX,passthrough,53.3,2026-08-27T12:16:31Z
Sourceress,Sourceress,passthrough,66.7,2026-08-27T12:16:31Z
OneLocal,OneLocal,passthrough,50.0,2026-08-27T12:16:31Z
Opearlo,Opearlo,passthrough,61.5,2026-08-27T12:16:31Z
Headstart,Headstart,passthrough,47.6,2026-08-27T12:16:31Z
Guggy,Guggy,passthrough,37.5,2026-08-27T12:16:31Z
May Mobility,May Mobility,passthrough,66.7,2026-08-27T12:16:31Z
Commissary Club (formerly 70 Million Jobs),Commissary Club (formerly 70 Million Jobs),passthrough,32.8,2026-08-27T12:16:31Z
Cambridge Cancer Genomics,Cambridge Cancer Genomics,passthrough,46.5,2026-08-27T12:16:31Z
AssemblyAI,AssemblyAI,passthrough,57.1,2026-08-27T12:16:31Z
Lyrebird,Lyrebird,passthrough,50.0,2026-08-27T12:16:31Z
Just Appraised,Just Appraised,passthrough,44.4,2026-08-27T12:16:31Z
Social Construct,Social Construct,passthrough,43.5,2026-08-27T12:16:31Z
10 By 10,10 By 10,passthrough,42.9,2026-08-27T12:16:31Z
Bumpline,Bumpline,passthrough,53.3,2026-08-27T12:16:31Z
Thematic,Thematic,passthrough,52.6,2026-08-27T12:16:31Z
FollowUpThen,FollowUpThen,passthrough,44.4,2026-08-27T12:16:31Z
Proven Group,Proven Group,passthrough,44.4,2026-08-27T12:16:31Z
Precious,Precious,passthrough,52.6,2026-08-27T12:16:31Z
Spellbrush,Spellbrush,passthrough,50.0,2026-08-27T12:16:31Z
Jasper.ai,Jasper,alias,100.0,2026-08-27T12:16:31Z
Observant AI,Observant AI,passthrough,66.7,2026-08-27T12:16:31Z
Fondo,Fondo,passthrough,54.5,2026-08-27T12:16:31Z
Slite,Slite,passthrough,60.0,2026-08-27T12:16:31Z
Mighty Buildings,Mighty Buildings,passthrough,50.0,2026-08-27T12:16:31Z
Sepsis Scout,Sepsis Scout,passthrough,47.6,2026-08-27T12:16:31Z
Macromoltek,Macromoltek,passthrough,50.0,2026-08-27T12:16:31Z
Promise,Promise,passthrough,46.2,2026-08-27T12:16:31Z
OurMenu,OurMenu,passthrough,47.1,2026-08-27T12:16:31Z
Persephone Biosciences,Persephone Biosciences,passthrough,42.1,2026-08-27T12:16:31Z
Reverie Labs,Reverie Labs,passthrough,69.6,2026-08-27T12:16:31Z
Nuvocargo,Nuvocargo,passthrough,47.1,2026-08-27T12:16:31Z
LUS Brands,LUS Brands,passthrough,53.8,2026-08-27T12:16:31Z
Meitre,Meitre,passthrough,61.5,2026-08-27T12:16:31Z
Sourcify,Sourcify,passthrough,52.6,2026-08-27T12:16:31Z
Viaopt,Viaopt,passthrough,57.1,2026-08-27T12:16:31Z
Meson,Meson,passthrough,46.2,2026-08-27T12:16:31Z
Evolve (makers of Podcast App & Rest),Evolve (makers of Podcast App & Rest),passthrough,39.2,2026-08-27T12:16:31Z
Edwin,Edwin,passthrough,46.2,2026-08-27T12:16:31Z
Acely,Acely,passthrough,54.5,2026-08-27T12:16:31Z
Cognition IP,Cognition IP,passthrough,50.0,2026-08-27T12:16:31Z
Hunter2,Hunter2,passthrough,46.2,2026-08-27T12:16:31Z
Vathys,Vathys,passthrough,42.9,2026-08-27T12:16:31Z
Naborly,Naborly,passthrough,50.0,2026-08-27T12:16:31Z
Weekend (fmr. Volley),Weekend (fmr. Volley),passthrough,40.0,2026-08-27T12:16:31Z
SharpestMinds,SharpestMinds,passthrough,47.6,2026-08-27T12:16:31Z
